# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
10,100000,10.3333,15.0678,17.6667,11.6167,1.6833,90.4667,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9833,1022.3667,1022.4167,18.6667,100.0000,0.0000,4.7500,331.6667,103.5000,38.8333,47.7167,52.2833,51.6667,52.5000,3.5783,22.5917,0.4715,1938.6667,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
11,100000,10.5833,15.5155,17.8167,11.5833,1.6500,90.5333,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.2500,1022.3333,1022.3833,17.1667,100.0000,0.0000,5.2667,360.1667,155.0000,53.5000,48.2333,51.7667,52.5000,52.5000,3.8167,24.4783,0.7077,2025.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
12,100000,9.9000,14.2357,16.7000,11.3667,1.6500,90.8667,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0333,1022.1333,1022.2833,22.5000,100.0000,0.0000,5.0500,362.3333,126.3333,48.0000,46.7833,53.2167,51.6667,52.5000,3.8800,27.7350,0.7837,1845.3333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
13,100000,9.8167,13.5028,16.8500,12.0667,1.7500,90.8167,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9667,1022.3500,1022.4333,18.8333,83.3333,0.0000,4.6667,343.1667,110.5000,39.3333,46.3500,53.6500,47.5000,52.5000,3.4133,18.1650,0.5995,1770.1667,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
14,100000,10.3833,15.1173,17.8833,11.5000,1.6667,90.4000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0833,1022.0500,1022.1167,38.3333,100.0000,0.0000,5.2667,368.3333,160.8333,55.0000,47.6667,52.3333,50.0000,52.5000,3.9700,23.5033,0.5330,1793.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
15,100000,10.1167,15.8103,17.4833,11.3333,1.7000,90.7500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.7167,1022.0000,1022.1333,37.6667,100.0000,0.0000,5.8167,366.1667,134.0000,52.3333,47.9333,52.0667,47.5000,52.5000,3.9783,25.5200,0.5557,1630.8333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
16,100000,9.6167,14.3527,16.4333,11.5833,1.7167,91.2333,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6333,1022.3167,1022.3667,21.0000,100.0000,0.0000,5.6000,345.1667,92.8333,29.6667,46.7167,53.2833,45.8333,52.5000,3.3967,18.2283,0.5468,1648.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
17,100000,10.5500,16.5727,18.2500,11.4667,1.7333,89.8000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6500,1022.2167,1022.3000,25.3333,100.0000,0.0000,5.7000,365.1667,131.5000,44.5000,44.6167,55.3833,52.5000,52.5000,3.8733,22.3317,0.5703,1658.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
18,100000,11.9000,15.4208,20.4667,13.0667,1.7333,88.9833,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.8000,1006.2500,1006.3500,186.6667,100.0000,0.0000,6.3333,373.6667,118.1667,38.0000,46.3333,53.6667,52.5000,52.5000,3.7767,19.5317,0.5190,1980.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
19,100000,10.8400,13.8260,19.3000,13.9800,1.7600,89.3000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5800,1022.3600,1022.4600,16.2000,100.0000,0.0000,4.9000,315.4000,49.2000,26.4000,45.3400,54.6600,52.5000,52.5000,4.1880,20.7040,0.3778,1845.4000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
